feature,importance_mean,importance_std
avg_line_length,0.12528848998915076,0.0022482449533801478
stopword_ratio,0.09976329026531214,0.001116078310674256
punctuation_ratio,0.03344511293026925,0.0020919824984977206
colon_ratio,0.019360883716342824,0.0012079945710032991
consonant_ratio,0.01594831837459315,0.0005219890964552538
exclamation_ratio,0.015277640792977587,0.0007199921096755024
parenthesis_ratio,0.015040931058289774,0.0010788504037095264
avg_word_length,0.013600946838938721,0.0006087098973945954
special_char_ratio,0.009527566821185506,0.000912731851366744
digit_ratio,0.009517703915573517,0.0004652323272539973
quote_ratio,0.007742380905414725,0.00034800826046707447
text_entropy,0.0076930663773547405,0.0009304646545079957
repeated_word_ratio,0.0048426866554886925,0.0007858823596749713
mixed_case_word_ratio,0.004655291448860821,0.0004986379193121552
question_mark_ratio,0.0038859848111253426,0.000495506724019332
uppercase_ratio,0.0038268073774533674,0.0005696628495194126
comma_ratio,0.0037479041325574336,0.0005105899637260243
white_space_ratio,0.0036985896044974707,0.0006179092655164294
line_count,0.0035210573034816007,0.0005649473712050312
vocabulary_size,0.0028996942499260104,0.0005937436411201254
all_caps_word_ratio,0.0028405168162540574,0.0003049536410640078
avg_sentence_length,0.002465726402998325,0.0003716627612469993
period_ratio,0.0024262747805503413,0.0004281000969367943
unique_word_ratio,0.002327645724430394,0.00036158009231331657
vowel_ratio,0.0020909359897425704,0.0005434452042195834
elipsis_ratio,0.0018838149718907072,0.0002310952660787024
most_common_word_freq,0.0018739520662787168,0.0005292990576979356
repeated_word_count,0.001824637538218743,0.000392662574955987
email_density,0.0017062826708748257,0.0003120483680748786
non_alpha_digit_ratio,0.0016766939540388548,0.0003663906819411405
lowercase_ratio,0.0015682019923069057,0.0003881777030112115
all_lowercase_word_ratio,0.0015386132754709237,0.00027261613494594894
sentence_count,0.0013512180688430742,0.0003474487612941773
avg_paragraph_length,0.0010454679948712852,0.0003186802331867819
semicolon_ratio,0.0010454679948712741,0.00018292964780542836
url_density,0.0007988953545714384,0.00012821777295591693
consecutive_punctuation_count,0.0005720485254955942,0.00018609293090158973
repeated_sequence_count,0.0005227339974356205,0.00013983082038422973
length,0.0005128710918236412,0.00022404214797515433
repeated_char_ratio,0.0004931452805996383,9.862905611992546e-05
word_count,0.00036492750764373084,0.0002756324807669755
bullet_point_count,0.0002367097346878122,0.00011835486734392461
bullet_point_ratio,0.00018739520662782727,5.3113372197802375e-05
empty_line_ratio,0.0001676693954038466,6.315340997567024e-05
url_count,5.917743367194195e-05,0.00010058229635252491
html_tag_count,0.0,7.639773836090839e-05
paragraph_count,0.0,0.0
email_count,0.0,0.0
unique_word_count,0.0,0.0
repeated_char_count,0.0,0.0
consecutive_spaces_count,0.0,0.0
html_tag_ratio,-1.9725811223980648e-05,3.945162244796129e-05
