threshold,accuracy,balanced_accuracy,precision_spam,recall_spam,f1_spam,precision_ham,recall_ham,f1_ham,true_negative,false_positive,false_negative,true_positive,true_ham,true_spam,predicted_ham,predicted_spam,ham_correct,ham_lost_as_spam,ham_preservation_rate,ham_loss_rate,spam_in_predicted_ham,spam_contamination_in_predicted_ham,spam_detected,spam_missed_as_ham,spam_detection_rate,spam_miss_rate,fp_rate_on_ham,fn_rate_on_spam
0.55,0.8801996672212978,0.8802963520786729,0.896551724137931,0.8609271523178808,0.8783783783783784,0.864951768488746,0.8996655518394648,0.8819672131147541,269,30,42,260,299,302,311,290,269,30,0.8996655518394648,0.10033444816053512,42,0.13504823151125403,260,42,0.8609271523178808,0.1390728476821192,0.10033444816053512,0.1390728476821192
0.6,0.8851913477537438,0.8853629094775078,0.9145907473309609,0.8509933774834437,0.8816466552315609,0.859375,0.919732441471572,0.8885298869143781,275,24,45,257,299,302,320,281,275,24,0.919732441471572,0.0802675585284281,45,0.140625,257,45,0.8509933774834437,0.1490066225165563,0.0802675585284281,0.1490066225165563
0.65,0.8868552412645591,0.8870683736073889,0.9239130434782609,0.8443708609271523,0.8823529411764706,0.8553846153846154,0.9297658862876255,0.8910256410256411,278,21,47,255,299,302,325,276,278,21,0.9297658862876255,0.07023411371237458,47,0.14461538461538462,255,47,0.8443708609271523,0.15562913907284767,0.07023411371237458,0.15562913907284767
0.7,0.8868552412645591,0.8870849852709917,0.927007299270073,0.8410596026490066,0.8819444444444444,0.8532110091743119,0.9331103678929766,0.8913738019169329,279,20,48,254,299,302,327,274,279,20,0.9331103678929766,0.06688963210702341,48,0.14678899082568808,254,48,0.8410596026490066,0.15894039735099338,0.06688963210702341,0.15894039735099338
0.75,0.8935108153078203,0.8937905601452967,0.9440298507462687,0.8377483443708609,0.887719298245614,0.8528528528528528,0.9498327759197325,0.8987341772151899,284,15,49,253,299,302,333,268,284,15,0.9498327759197325,0.05016722408026756,49,0.14714714714714713,253,49,0.8377483443708609,0.16225165562913907,0.05016722408026756,0.16225165562913907
0.8,0.8835274542429284,0.8838900086380651,0.9496124031007752,0.8112582781456954,0.875,0.8338192419825073,0.9565217391304348,0.8909657320872274,286,13,57,245,299,302,343,258,286,13,0.9565217391304348,0.043478260869565216,57,0.1661807580174927,245,57,0.8112582781456954,0.18874172185430463,0.043478260869565216,0.18874172185430463
0.85,0.8752079866888519,0.875661697933509,0.9595141700404858,0.7847682119205298,0.8633879781420765,0.8163841807909604,0.9665551839464883,0.885145482388974,289,10,65,237,299,302,354,247,289,10,0.9665551839464883,0.033444816053511704,65,0.18361581920903955,237,65,0.7847682119205298,0.2152317880794702,0.033444816053511704,0.2152317880794702
0.9,0.8452579034941764,0.8458935967574033,0.9644444444444444,0.7185430463576159,0.8235294117647058,0.773936170212766,0.9732441471571907,0.8622222222222222,291,8,85,217,299,302,376,225,291,8,0.9732441471571907,0.026755852842809364,85,0.22606382978723405,217,85,0.7185430463576159,0.2814569536423841,0.026755852842809364,0.2814569536423841
