model_name,n_samples,n_features,cv_folds,threshold,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_spam_mean,f1_spam_std,precision_spam_mean,precision_spam_std,recall_spam_mean,recall_spam_std,balanced_accuracy_mean,balanced_accuracy_std
extra_trees,601,55,5,0.75,0.9369114723225588,0.011784569062820764,0.9415844587667023,0.011532393483434284,0.7908185494666535,0.01336750100303,0.9414502383359815,0.028602637643166173,0.6821857923497268,0.014557893950356286,0.8193697323330555,0.012523557684086927
lightgbm,601,55,5,0.75,0.9303769874347811,0.00952557038093747,0.9394309556040341,0.009164534159136624,0.837781744715383,0.0320722958674863,0.8920697541452259,0.014661611739147902,0.7916939890710383,0.05691791317254687,0.8473724182643327,0.026500099834907854
logistic_regression,601,55,5,0.75,0.9286763607174832,0.014691148174007785,0.9351356118739231,0.014505518903383002,0.8095874495874495,0.03501286676086167,0.9385891265597147,0.04525041223512224,0.7154098360655737,0.05658485117119025,0.8327049180327869,0.026591536195693107
random_forest,601,55,5,0.75,0.9317733629711956,0.009692514888071031,0.9345126175763824,0.007995305885998902,0.7629260920644627,0.026785432557854583,0.9327930180993143,0.018712988711316506,0.6458469945355192,0.0323972291910169,0.7995054181717144,0.02012953227474143
dummy,601,55,5,0.75,0.5,0.0,0.5024931129476584,0.0033299165148592234,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
